iter	RMSE
0	0.4815296786
1	0.4782045172
2	0.4754363677
3	0.4731825971
4	0.4712856004
5	0.4696745953
6	0.4683504978
7	0.4672278714
8	0.465115886
9	0.4633643991
10	0.4618982739
11	0.4606454287
12	0.4595976145
13	0.4591337964
14	0.4587600991
15	0.4579934305
16	0.4573433513
17	0.457084241
18	0.4568692176
19	0.4561775486
20	0.4560164581
21	0.4556092746
22	0.4552323075
23	0.4551368247
24	0.4550482611
25	0.4549735017
26	0.4545874473
27	0.4543503165
28	0.4542999981
29	0.4542567863
30	0.4542233573
31	0.4539089133
32	0.4538798589
33	0.4538578269
34	0.453839095
35	0.4538213574
36	0.4538077922
37	0.4535265537
38	0.4535141037
39	0.4535042165
40	0.4532901457
41	0.4531041052
42	0.4529688538
43	0.452962258
44	0.4527561332
45	0.4526637572
46	0.452511163
47	0.4523824589
48	0.4522837173
49	0.4521694783
50	0.4520751202
51	0.4519978485
52	0.4519220761
53	0.4518493928
54	0.4518244905
55	0.4517665909
56	0.4517104928
57	0.4516647234
58	0.451625656
59	0.4515897255
60	0.4515577162
61	0.4515313642
62	0.4515025217
63	0.4514842969
64	0.4514634006
65	0.4514455327
66	0.4514238309
67	0.451410838
68	0.45139455
69	0.4513700051
70	0.4513517343
71	0.4513136867
72	0.4512994763
73	0.4512850142
74	0.4512757326
75	0.4512353955
76	0.4512288109
77	0.4512068899
78	0.4511922654
79	0.451182619
80	0.4511743004
81	0.4511630294
82	0.4511581321
83	0.4511428411
84	0.4511370118
85	0.4511118736
86	0.4511033998
87	0.451095096
88	0.4510872521
89	0.4510803356
90	0.4510526337
91	0.451046739
92	0.451039025
93	0.4510332243
94	0.4510306313
95	0.4510203308
96	0.4510041317
97	0.4509971415
98	0.450991627
99	0.4509878634
100	0.4509850358
101	0.4509826165
102	0.4509753435
103	0.4509662015
104	0.4509606855
105	0.4509579758
106	0.4509550344
107	0.4509155152
108	0.4509135469
109	0.4508828671
110	0.4508789435
111	0.4508743188
112	0.4508717966
113	0.4508577942
114	0.4508533559
115	0.4508511547
116	0.4508470187
117	0.4508463177
118	0.450840612
119	0.4508361442
120	0.4508347994
121	0.4508301411
122	0.4508255268
123	0.4507991646
124	0.4507985773
125	0.4507951246
126	0.4507796557
127	0.4507768412
128	0.4507744984
129	0.4507613531
130	0.4507576642
131	0.4507561437
132	0.4507543761
133	0.4507503891
134	0.4507493596
135	0.450748571
136	0.4507363645
137	0.4507355435
138	0.4507313606
139	0.4507279571
140	0.4507260162
141	0.4507243418
142	0.4507218187
143	0.4507207625
144	0.4507184419
145	0.450716631
146	0.4507155774
147	0.4507139802
148	0.4507112009
149	0.4507098072
150	0.4506889601
151	0.4506877665
152	0.4506867108
153	0.4506853105
154	0.4506849299
155	0.4506829051
156	0.4506812513
157	0.4506787289
158	0.4506759079
159	0.450675241
160	0.4506644049
161	0.4506465058
162	0.4506440505
163	0.4506416857
164	0.4506409437
165	0.4506405298
166	0.4506216613
167	0.4506199018
168	0.4506136244
169	0.4506121445
170	0.4506054679
171	0.450604317
172	0.4505891226
173	0.4505873314
174	0.4505851183
175	0.4505783712
176	0.4505760831
177	0.4505742013
178	0.4505739963
179	0.4505716025
180	0.4505712169
181	0.4505707462
182	0.4505692827
183	0.4505682733
184	0.4505675229
185	0.4505655407
186	0.4505651383
187	0.4505635239
188	0.4505624761
189	0.4505612723
190	0.4505603861
191	0.4505601137
192	0.4505595155
193	0.450557137
194	0.4505566966
195	0.4505560013
196	0.4505553203
197	0.4505542945
198	0.4505418976
199	0.4505414794
