iter	Passed	Remaining
0	302	60231
1	533	52811
2	758	49787
3	908	44495
4	1116	43550
5	1273	41170
6	1412	38939
7	1559	37416
8	1796	38122
9	1935	36778
10	2079	35734
11	2220	34780
12	2356	33901
13	2551	33901
14	2761	34056
15	2903	33391
16	3046	32796
17	3235	32719
18	3436	32738
19	3530	31776
20	3720	31715
21	3862	31249
22	4002	30801
23	4205	30838
24	4392	30749
25	4546	30428
26	4698	30106
27	4833	29691
28	5024	29627
29	5201	29473
30	5362	29236
31	5454	28638
32	5604	28362
33	5797	28305
34	5973	28159
35	6133	27939
36	6310	27800
37	6473	27598
38	6622	27340
39	6834	27336
40	6920	26836
41	7006	26359
42	7093	25898
43	7255	25723
44	7311	25182
45	7616	25498
46	7676	24988
47	7735	24494
48	7991	24628
49	8049	24147
50	8104	23677
51	8165	23238
52	8224	22810
53	8278	22383
54	8393	22127
55	8452	21733
56	8508	21345
57	8563	20965
58	8620	20601
59	8676	20245
60	8773	19991
61	8866	19734
62	8920	19399
63	9007	19139
64	9064	18827
65	9151	18580
66	9211	18285
67	9301	18056
68	9364	17778
69	9416	17487
70	9538	17331
71	9727	17294
72	9788	17029
73	9847	16767
74	9914	16523
75	10084	16453
76	10196	16287
77	10554	16508
78	10623	16271
79	10719	16079
80	10778	15834
81	10832	15588
82	10983	15483
83	11036	15240
84	11136	15066
85	11323	15010
86	11442	14862
87	11504	14641
88	11562	14420
89	11621	14204
90	11929	14288
91	11992	14077
92	12072	13889
93	12239	13801
94	12322	13619
95	12382	13414
96	12669	13453
97	12786	13308
98	12848	13108
99	12926	12926
100	13006	12748
101	13087	12574
102	13147	12381
103	13204	12188
104	13297	12031
105	13360	11848
106	13422	11666
107	13600	11585
108	13662	11406
109	13834	11319
110	13897	11142
111	13961	10969
112	14019	10793
113	14302	10789
114	14357	10612
115	14422	10443
116	14484	10275
117	14591	10139
118	14649	9971
119	14747	9831
120	14808	9668
121	14866	9504
122	14924	9343
123	15240	9340
124	15407	9244
125	15504	9105
126	15679	9012
127	15742	8855
128	15800	8696
129	16078	8657
130	16139	8500
131	16204	8347
132	16264	8193
133	16319	8038
134	16381	7887
135	16441	7737
136	16608	7637
137	16692	7499
138	16753	7352
139	16811	7205
140	16869	7058
141	16930	6915
142	16988	6771
143	17049	6630
144	17284	6556
145	17415	6441
146	17494	6307
147	17554	6167
148	17605	6025
149	17664	5888
150	17987	5836
151	18067	5705
152	18123	5567
153	18177	5429
154	18239	5295
155	18302	5162
156	18362	5029
157	18417	4895
158	18478	4765
159	18560	4640
160	18848	4565
161	19159	4494
162	19216	4362
163	19275	4231
164	19332	4100
165	19415	3976
166	19745	3901
167	19858	3782
168	20012	3670
169	20071	3541
170	20342	3449
171	20404	3321
172	20711	3232
173	20774	3104
174	20837	2976
175	21020	2866
176	21074	2738
177	21179	2617
178	21331	2502
179	21396	2377
180	21466	2253
181	21550	2131
182	21614	2007
183	21672	1884
184	21736	1762
185	21799	1640
186	21885	1521
187	21943	1400
188	22006	1280
189	22065	1161
190	22130	1042
191	22290	928
192	22383	811
193	22442	694
194	22528	577
195	22590	461
196	22653	344
197	22718	229
198	22824	114
199	22882	0
